WRONG_SUM! 31/07 14:18:52 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:52 SUM: 228  	[255, 187, 250, 51, 253, 187]
WRONG_SUM! 31/07 14:18:52 SUM: 220  	[255, 233, 192, 190, 254, 252, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:52 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:52 SUM: 106  	[248, 161, 253, 235, 0, 233, 192]
WRONG_SUM! 31/07 14:18:52 SUM: 61  	[255, 85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:52 SUM: 0  	[254]
WRONG_SUM! 31/07 14:18:52 SUM: 232  	[255, 233, 224]
WRONG_SUM! 31/07 14:18:52 SUM: 32  	[85, 255, 13, 255, 145, 255, 143, 255, 163, 167, 214, 209, 96, 0, 213, 175, 192, 13, 0]
WRONG_SUM! 31/07 14:18:52 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:53 SUM: 126  	[85, 255, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:53 SUM: 233  	[233, 224]
WRONG_SUM! 31/07 14:18:53 SUM: 62  	[85, 191, 13, 255, 145, 255, 143, 255, 163]
WRONG_SUM! 31/07 14:18:53 SUM: 228  	[255, 187, 250, 51, 253, 187]
